,,,,,,,,,,,,,,,,,,,
,time period,month,year,ID4,TAOS,Cross Sport,Arteon,Tiguan,Atlas,Routan,Touareg,Tiguan,CC,EOS,Passat,Jetta,Golf,Beetle,
,1,January,2008,,,,,,,,,,,,,,,,
,2,February,2008,,,,,,,,,,,,,,,,
,3,March,2008,,,,,,,,,,,,,,,,
,4,April,2008,,,,,,,,,,,,,,,,
,5,May,2008,,,,,,,,,,,,,,,,
,6,June,2008,,,,,,,,,,,,,,,,
,7,July,2008,,,,,,,,,,,,,,,,
,8,August,2008,,,,,,,,,,,,,,,,
,9,September,2008,,,,,,,375.000,,,,,,,,,
,10,October,2008,,,,,,,789.000,,,,,,,,,
,11,November,2008,,,,,,,1324.000,,,,,,,,,
,12,December,2008,,,,,,,899.000,6755,8664,2105,12837,30034,97461,,26477,
,13,January,2009,,,,,,,663.000,,,,,,,,,
,14,February,2009,,,,,,,503.000,,,,,,,,,
,15,March,2009,,,,,,,1029.000,,,,,,,,,
,16,April,2009,,,,,,,2606.000,,,,,,,,,
,17,May,2009,,,,,,,1390.000,,,,,,,,,
,18,June,2009,,,,,,,2099.000,,,,,,,,,
,19,July,2009,,,,,,,1350.000,,,,,,,,,
,20,August,2009,,,,,,,2098.000,,,,,,,,,
,21,September,2009,,,,,,,901.000,,,,,,,,,
,22,October,2009,,,,,,,669.000,,,,,,,,,
,23,November,2009,,,,,,,510.000,,,,,,,,,
,24,December,2009,,,,,,,833.000,4392,13903,23872,7204,11138,108427,,14085,
,25,January,2010,,,,,,,,,,,,,,,,
,26,February,2010,,,,,,,,,,,,,,,,
,27,March,2010,,,,,,,,,,,,,,,,
,28,April,2010,,,,,,,,,,,,,,,,
,29,May,2010,,,,,,,,,,,,,,,,
,30,June,2010,,,,,,,,,,,,,,,,
,31,July,2010,,,,,,,,,,,,,,,,
,32,August,2010,,,,,,,,,,,,,,,,
,33,September,2010,,,,,,,,,,,,,,,,
,34,October,2010,,,,,,,,,,,,,,,,
,35,November,2010,,,,,,,,,,,,,,,,
,36,December,2010,,,,,,,15961,4713,20946,27987,6690,12497,123213,,16573,
,37,January,2011,,,,,,,,,,,,,,,,
,38,February,2011,,,,,,,,,,,,,,,,
,39,March,2011,,,,,,,,,,,,,,,,
,40,April,2011,,,,,,,,,,,,,,,,
,41,May,2011,,,,,,,,,,,,,,,,
,42,June,2011,,,,,,,,,,,,,,,,
,43,July,2011,,,,,,,,,,,,,,,,
,44,August,2011,,,,,,,,,,,,,,,,
,45,September,2011,,,,,,,,,,,,,,,,
,46,October,2011,,,,,,,,,,,,,,,,
,47,November,2011,,,,,,,,,,,,,,,,
,48,December,2011,,,,,,,12473,7535,2599,29502,7533,22835,177360,,6468,
,49,January,2012,,,,,,,,,,,,,,,,
,50,February,2012,,,,,,,,,,,,,,,,
,51,March,2012,,,,,,,,,,,,,,,,
,52,April,2012,,,,,,,,,,,,,,,,
,53,May,2012,,,,,,,,,,,,,,,,
,54,June,2012,,,,,,,,,,,,,,,,
,55,July,2012,,,,,,,,,,,,,,,,
,56,August,2012,,,,,,,,,,,,,,,,
,57,September,2012,,,,,,,,,,,,,,,,
,58,October,2012,,,,,,,,,,,,,,,,
,59,November,2012,,,,,,,,,,,,,,,,
,60,December,2012,,,,,,,10484,10553,31731,21646,6214,117023,170424,,29174,
,61,January,2013,,,,,,,,,,,,,,,,
,62,February,2013,,,,,,,,,,,,,,,,
,63,March,2013,,,,,,,,,,,,,,,,
,64,April,2013,,,,,,,,,,,,,,,,
,65,May,2013,,,,,,,,,,,,,,,,
,66,June,2013,,,,,,,,,,,,,,,,
,67,July,2013,,,,,,,,,,,,,,,,
,68,August,2013,,,,,,,,,,,,,,,,
,69,September,2013,,,,,,,,,,,,,,,,
,70,October,2013,,,,,,,,,,,,,,,,
,71,November,2013,,,,,,,,,,,,,,,,
,72,December,2013,,,,,,,2109,8233,3000,15672,4178,109652,163793,,43134,
,73,January,2014,,,,,,,,,,,,,,,,
,74,February,2014,,,,,,,,,,,,,,,,
,75,March,2014,,,,,,,,,,,,,,,,
,76,April,2014,,,,,,,,,,,,,,,,
,77,May,2014,,,,,,,,,,,,,,,,
,78,June,2014,,,,,,,,,,,,,,,,
,79,July,2014,,,,,,,,,,,,,,,,
,80,August,2014,,,,,,,,,,,,,,,,
,81,September,2014,,,,,,,,,,,,,,,,
,82,October,2014,,,,,,,,,,,,,,,,
,83,November,2014,,,,,,,,,,,,,,,,
,84,December,2014,,,,,,,1103,6961,25121,9995,3411,96649,160873,,29182,
,85,January,2015,,,,,,,,,,,,,,,,
,86,February,2015,,,,,,,,,,,,,,,,
,87,March,2015,,,,,,,,,,,,,,,,
,88,April,2015,,,,,,,,,,,,,,,,
,89,May,2015,,,,,,,,,,,,,,,,
,90,June,2015,,,,,,,,,,,,,,,,
,91,July,2015,,,,,,,,,,,,,,,,
,92,August,2015,,,,,,,,,,,,,,,,
,93,September,2015,,,,,,,,,,,,,,,,
,94,October,2015,,,,,,,,,,,,,,,,
,95,November,2015,,,,,,,,,,,,,,,,
,96,December,2015,,,,,,,,,35843,6276,2993,78207,,,,
,97,January,2016,,,,,,,,354,2528,379,,3586,8177,3993,939,
,98,February,2016,,,,,,,,403,3245,251,,4380,9375,3645,912,
,99,March,2016,,,,,,,,394,3519,361,,6097,10471,4495,1468,
,100,April,2016,,,,,,,,437,3804,230,,5629,10694,5108,1171,
,101,May,2016,,,,,,,,360,4394,292,,7129,10945,4475,1178,
,102,June,2016,,,,,,,,255,3066,168,,5992,8617,4606,1105,
,103,July,2016,,,,,,,,308,3379,193,,6549,11450,5351,1528,
,104,August,2016,,,,,,,,367,3302,247,,7389,11720,4840,1519,
,105,September,2016,,,,,,,,330,2988,234,,6335,8299,4585,1341,
,106,October,2016,,,,,,,,271,3322,240,,6234,8068,5137,1507,
,107,November,2016,,,,,,,,348,4516,268,,6441,10212,6484,1403,
,108,December,2016,,,,,,,,396,5575,374,387,7241,13079,8968,1596,
,109,January,2017,,,,,,,,247,3516,167,,5887,6846,5766,1081,
,110,February,2017,,,,,,,,238,3425,179,,6114,8017,5842,1330,
,111,March,2017,,,,,,,,317,3270,216,,6266,9700,6369,1497,
,112,April,2017,,,,,,,,238,2939,150,,6148,9398,7187,1497,
,113,May,2017,,,,,,1610,,204,2068,109,,5455,11535,7203,1829,
,114,June,2017,,,,,,2413,,386,1747,98,,5267,9999,5880,1587,
,115,July,2017,,,,,593,1306,,475,1484,95,,5143,11053,5583,1359,
,116,August,2017,,,,,2516,2807,,282,1005,97,,5714,12409,5961,1224,
,117,September,2017,,,,,3075,4095,,221,1226,71,,4636,12038,5685,1065,
,118,October,2017,,,,,3848,3664,,252,1263,58,,3937,9217,4697,796,
,119,November,2017,,,,,5221,5154,,201,1726,61,,3140,8362,4276,1066,
,120,December,2017,,,,,5770,6070,,484,2291,54,1,3015,7233,4529,835,
,121,January,2018,,,,,6336,4303,,404,,49,,2434,4531,3541,1112,
,122,February,2018,,,,,7486,4766,,271,,46,,3036,4592,3601,1007,
,123,March,2018,,,,,8276,6063,,263,,57,,4292,5527,4870,1759,
,124,April,2018,,,,,7637,5404,,170,,44,,4044,4313,4666,1469,
,125,May,2018,,,,,8579,3923,,190,,67,,4757,6821,4027,1492,
,126,June,2018,,,,,7788,3699,,150,,31,,3793,7239,3552,1128,
,127,July,2018,,,,,6636,6499,,136,,32,,4003,6938,3170,1785,
,128,August,2018,,,,,7281,4054,,120,,62,,3873,10597,3593,1399,
,129,September,2018,,,,,7213,4291,,67,,21,,3295,10631,3333,999,
,130,October,2018,,,,,7097,4725,,108,,30,,2602,10148,3005,796,
,131,November,2018,,,,,6794,5233,,85,,5,,2156,9207,2488,548,
,132,December,2018,,,,,8353,6717,,58,103022,11,,3116,10261,2425,917,
,133,January,2019,,,,,6649,3803,,38,,9,,2899,6875,1774,971,
,134,February,2019,,,,,8079,4795,,29,,4,,2097,7109,2070,1457,
,135,March,2019,,,,,11805,7381,,19,,9,,2762,9105,3942,2027,
,136,April,2019,,,,78,10539,6050,,12,,5,,1607,7745,3682,1566,
,137,May,2019,,,,245,10687,8273,,14,,6,,1294,9653,3834,1691,
,138,June,2019,,,,275,9250,7424,,18,,5,,797,8486,3656,1686,
,139,July,2019,,,,252,8963,7688,,6,,6,,628,8086,3330,2224,
,140,August,2019,,,,329,10955,8227,,7,,3,,572,9592,3808,1916,
,141,September,2019,,,,304,7991,6064,,8,,3,,314,8090,2917,1208,
,142,October,2019,,,,366,8322,6647,,1,,2,,211,8582,2963,967,
,143,November,2019,,,,317,8402,7756,,1,,4,,228,8966,2753,790,
,144,December,2019,,,,283,7930,7400,,7,109572,2,,714,8164,2664,712,
,145,January,2020,,,,,,,,,,,,,,,,
,146,February,2020,,,,,,,,,,,,,,,,
,147,March,2020,,,1129,788,22176,15407,,,,17000,,5981,21393,7700,1610,
,148,April,2020,,,,,,,,,,,,,,,,
,149,May,2020,,,,,,,,,,,,,,,,
,150,June,2020,,,6756,797,25318,9565,,,,3,,4120,15971,6677,722,
,151,July,2020,,,,,,,,,,,,,,,,
,152,August,2020,,,,,,,,,,,,,,,,
,153,September,2020,,,10105,1056,28069,14084,,34,,70,,6089,20116,6679,129,
,154,October,2020,,,,,,,,,,,,,,,,
,155,November,2020,,,,,,,,,,,,,,,,
,156,December,2020,,,11079,961,25124,20366,,14,100687,6,,6774,25182,4802,20,
,157,January,2021,,,,,,,,,,,,,,,,
,158,February,2021,,,,,,,,,,,,,,,,
,159,March,2021,474,,11302,1099,27265,19218,,,,1,,4535,22714,4243,2,
,160,April,2021,,,,,,,,,,,,,,,,
,161,May,2021,,,,,,,,,,,,,,,,
,162,June,2021,5756,4939,14526,1682,37888,24851,,4,,2,,6832,20295,3735,7,
,163,July,2021,,,,,,,,,,,,,,,,
,164,August,2021,,,,,,,,,,,,,,,,
,165,September,2021,6049,13104,9259,2084,19847,13659,,2,,,,5137,9712,466,1,
,166,October,2021,,,,,,,,,,,,,,,,
,167,November,2021,,,,,,,,,,,,,,,,
,168,December,2021,4463,13639,8216,672,24743,14656,,,109743,,,7892,9246,809,,
,169,January,2022,,,,,,,,,,,,,,,,
,170,February,2022,,,,,,,,,,,,,,,,
,171,March,2022,2755,13674,5688,47,18233,9046,,,,1,,2345,10878,2325,1,
,172,April,2022,,,,,,,,,,,,,,,,
,173,May,2022,,,,,,,,,,,,,,,,
,174,June,2022,1660,14281,8083,123,20495,17595,,,,,,63,12913,3068,,
,175,July,2022,,,,,,,,,,,,,,,,
,176,August,2022,,,,,,,,,,,,,,,,
,177,September,2022,6657,18880,8903,771,25608,16884,,,,,,,9193,2181,,
,178,October,2022,,,,,,,,,,,,,,,,
,179,November,2022,,,,,,,,,,,,,,,,
,180,December,2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
