1,Accra,Ghana,Passat,"5.561292985185583, -0.22998586026877146",current
1,Accra,Ghana,Tiguan,"5.561292985185583, -0.22998586026877146",current
2,Anchieta,Brazil,Beetle,"-20.65582187787271, -40.503401395700315",former
2,Anchieta,Brazil,Passat,"-20.65582187787271, -40.503401395700315",former
3,Anting,China,Passat,"31.285462200101758, 121.18116433295569",former
3,Anting,China,Tiguan,"31.285462200101758, 121.18116433295569",current
4,Aurangabad,India,Passat,"19.873486232219005, 75.31613265492958",former
4,Aurangabad,India,Tiguan,"19.873486232219005, 75.31613265492958",current
5,Barcelona,Spain,Passat,"39.668300595800126, -0.2783850329487812",former
6,VW Bratislava,Slovakia,Golf,"47.873495178829614, 16.102076115458978",former
6,VW Bratislava,Slovakia,Passat,"47.873495178829614, 16.102076115458978",former
6,VW Bratislava,Slovakia,Touareg,"47.873495178829614, 16.102076115458978",current
7,Brussels,Belgium,Beetle,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Golf,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Golf,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Golf,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Golf,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Golf,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Passat,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Passat,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Passat,"50.81122220271053, 4.3148420251041655",former
7,Brussels,Belgium,Passat,"50.81122220271053, 4.3148420251041655",former
8,Changchun,China,CC,"43.862166632214084, 125.29257092592557",current
8,Changchun,China,Golf,"43.862166632214084, 125.29257092592557",former
8,Changchun,China,Jetta,"43.862166632214084, 125.29257092592557",former
9,Chattanooga,USA,Atlas,"35.077103086458976, -85.13084428224508",current
9,Chattanooga,USA,Cross Sport,"35.077103086458976, -85.13084428224508",current
9,Chattanooga,USA,ID4,"35.077103086458976, -85.13084428224508",current
9,Chattanooga,USA,Passat,"35.077103086458976, -85.13084428224508",former
10,Chengdu,China,Jetta,"30.555094433011554, 104.22537716679814",former
10,Chengdu,China,Passat,"30.555094433011554, 104.22537716679814",former
11,Cikampek,Indonesia,Tiguan,"-6.395916817687129, 107.43924564978322",current
12,Curitiba,Brazil,Golf,"-25.667614689147843, -49.17531061612259",former
13,Dresden,Germany,Golf,"51.044640753979856, 13.755658213467846",former
14,Emden,Germany,Arteon,"53.35587930479482, 7.157592531098551",current
14,Emden,Germany,Beetle,"53.35587930479482, 7.157592531098551",former
14,Emden,Germany,CC,"53.35587930479482, 7.157592531098551",former
14,Emden,Germany,Golf,"53.35587930479482, 7.157592531098551",former
14,Emden,Germany,ID4,"53.35587930479482, 7.157592531098551",current
14,Emden,Germany,Passat,"53.35587930479482, 7.157592531098551",current
15,Foshan,China,Golf,"23.016961622915183, 113.06200881051602",current
16,Hanover,Germany,Beetle,"52.41555933668898, 9.65589034778581",former
17,Ingolstadt,Germany,Beetle,"52.454316796395965, 9.745926942496693",former
18,Kigali,Rwanda,Passat,"-1.955873623874945, 30.160092975934404",current
18,Kigali,Rwanda,Tiguan,"-1.955873623874945, 30.160092975934404",current
19,Lagos,Nigeria,CC,"6.463673550953772, 3.22381134129231",former
19,Lagos,Nigeria,Jetta,"6.463673550953772, 3.22381134129231",former
19,Lagos,Nigeria,Passat,"6.463673550953772, 3.22381134129231",former
20,Nanjing,China,Passat,"32.05636799059882, 118.79676346098822",current
21,Osnabrück,Germany,Golf,"52.26460617530703, 8.078354266133871",former
21,Osnabrück,Germany,Tiguan,"52.26460617530703, 8.078354266133871",former
22,Pacheco,Argentina,Taos,"-34.44712244813624, -58.69350064474578",current
23,Palmela,Portugal,Eos,"38.58525523918884, -8.987846177186452",former
24,Pekan,Malaysia,Arteon,"3.5298379116170335, 103.38349441059599",current
24,Pekan,Malaysia,Golf,"3.5298379116170335, 103.38349441059599",current
24,Pekan,Malaysia,Jetta,"3.5298379116170335, 103.38349441059599",former
24,Pekan,Malaysia,Passat,"3.5298379116170335, 103.38349441059599",former
24,Pekan,Malaysia,Tiguan,"3.5298379116170335, 103.38349441059599",current
25,Pozna,Poland,Passat,"52.41298019312562, 16.921571848247037",former
26,Puebla,Mexico,Beetle,"19.12153526560711, -98.24686882132734",former
26,Puebla,Mexico,Golf,"19.12153526560711, -98.24686882132734",former
26,Puebla,Mexico,Jetta,"19.12153526560711, -98.24686882132734",former
26,Puebla,Mexico,Taos,"19.12153526560711, -98.24686882132734",current
26,Puebla,Mexico,Tiguan,"19.12153526560711, -98.24686882132734",current
27,Salzgitter,Germany,Passat,"52.18164143661218, 10.442478091167821",former
28,Sarajevo,Bosnia and Herzegovina,Beetle,"43.89713356194084, 18.35794670061113",former
28,Sarajevo,Bosnia and Herzegovina,Golf,"43.89713356194084, 18.35794670061113",former
28,Sarajevo,Bosnia and Herzegovina,Jetta,"43.89713356194084, 18.35794670061113",former
28,Sarajevo,Bosnia and Herzegovina,Passat,"43.89713356194084, 18.35794670061113",former
29,Solomonovo,Ukraine,Golf,"48.431883795310554, 22.162097721790367",former
29,Solomonovo,Ukraine,Passat,"48.431883795310554, 22.162097721790367",former
30,Taubaté,Brazil,Passat,"-23.05595558200829, -45.63224627384621",former
30,Taubaté,Brazil,Tiguan,"-23.05595558200829, -45.63224627384621",current
31,Thika,Kenya,Beetle,"-1.0423544341028723, 37.08521063911025",former
31,Thika,Kenya,Golf,"-1.0423544341028723, 37.08521063911025",former
31,Thika,Kenya,Jetta,"-1.0423544341028723, 37.08521063911025",former
32,Uitenhage,South Africa,Beetle,"-33.784896624358474, 25.42107342824906",former
32,Uitenhage,South Africa,Golf,"-33.784896624358474, 25.42107342824906",former
32,Uitenhage,South Africa,Jetta,"-33.784896624358474, 25.42107342824906",former
32,Uitenhage,South Africa,Passat,"-33.784896624358474, 25.42107342824906",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",current
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",current
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Golf,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Jetta,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Jetta,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Passat,"52.43310222002362, 10.776691552078528",former
33,Wolfsburg,Germany,Tiguan,"52.43310222002362, 10.776691552078528",current
34,Zwickau-Mosel,Germany,ID4,"50.792310290557076, 12.487402586032607",current
34,Zwickau-Mosel,Germany,Golf,"50.792310290557076, 12.487402586032607",former
